ID_CLIENTE,EDAD,ESTADO_CIVIL,TIPO_DE_TARJETA,UTILIDAD_PROMEDIO_TC,SALDO_CANCELADO_TC,TOTAL_DE_RECLAMOS,INGRESO_MENSUAL,CUENTA_SUELDO,CANTIDAD_DE_PRODUCTOS_FINANCIERO_DEL_BBVA,ANTIGUEDAD,USO_DE_BANCA_POR_INTERNET,DEUDA_TOTAL_DE_TARJETA_DECREDITO,LINEA_DISPONIBLE_DE_TARJETA_DE_CREDITO,LINEA_TOTAL_DE_TARJETA_DE_CREDITO
ID690,29,0,1,0,0,2,19000,1,2,0,0,0,74000,74000
ID691,29,1,2,28203,0,2,14000,0,3,7,0,0,80000,80000
ID692,33,1,1,3,0,3,19000,0,2,1,1,0,80000,80000
ID693,33,1,1,3837,0,3,12000,1,3,7,0,0,60000,60000
ID694,25,3,3,0,0,2,14000,0,3,6,1,5000,24000,29000
ID695,25,0,0,3264,0,2,17000,1,3,0,1,0,50000,50000
ID696,39,1,1,401,0,2,18000,1,4,0,0,0,70000,70000
ID697,39,1,1,5776,0,2,13000,1,2,9,0,0,17000,17000
ID700,39,0,0,765,0,2,14000,1,3,0,0,0,35000,35000
ID701,39,3,3,0,0,2,14000,1,4,0,0,5000,125000,130000
ID707,40,1,2,-14,0,1,14000,1,4,0,1,0,100000,100000
ID708,40,3,0,1077,0,1,19000,0,2,2,0,5000,24000,29000
ID719,23,1,3,12477,0,0,17000,0,2,0,0,0,30000,30000
ID720,23,3,3,0,0,0,16000,0,3,0,1,0,100000,100000
ID721,41,0,4,1055,0,2,13000,0,2,0,1,0,70000,70000
ID722,41,0,4,2362,0,2,13000,0,4,6,0,13000,57000,70000
ID723,25,1,3,-8,0,1,14000,1,4,10,1,0,75000,75000
ID724,25,0,4,0,0,1,19000,1,4,0,1,1000,18000,19000
ID725,54,3,3,2267,0,0,14000,1,4,3,1,0,20000,20000
ID726,54,1,1,-556,0,0,16000,1,2,5,1,0,69000,69000
ID732,33,3,1,0,0,3,17000,0,3,1,0,0,60000,60000
ID733,33,0,3,43,0,3,18000,0,2,2,1,0,30000,30000
ID738,35,0,4,3321,0,1,15000,1,2,10,0,0,113000,113000
ID739,35,0,0,0,0,1,15000,1,2,9,1,0,20000,20000
ID742,38,0,3,41796,0,2,13000,0,3,0,1,4000,59000,63000
ID749,53,0,1,36923,0,2,14000,0,2,0,0,0,50000,50000
ID750,53,3,4,2647,0,2,17000,1,2,6,0,7000,4000,11000
ID755,33,0,3,3857,0,2,14000,1,4,0,0,11000,37000,48000
ID756,33,0,2,22201,0,2,16000,1,3,8,1,4000,59000,63000
ID770,25,0,0,560,0,2,19000,1,4,7,0,0,40000,40000
ID771,25,0,2,0,0,2,13000,0,4,2,0,0,52000,52000
ID778,34,3,2,27547,0,3,19000,0,2,0,0,2000,9000,11000
ID779,34,0,1,0,0,3,13000,0,3,0,1,0,90000,90000
ID780,30,1,2,357,0,1,17000,0,4,0,0,5000,49000,54000
ID781,30,0,3,0,0,1,17000,0,2,1,0,0,70000,70000
ID786,37,3,3,-46,0,2,14000,1,3,0,1,7000,4000,11000
ID787,37,0,0,0,0,2,14000,0,4,1,0,1000,7000,8000
ID792,22,0,3,0,0,3,17000,1,3,0,1,19000,10000,29000
ID793,22,0,3,0,0,3,18000,1,3,0,0,2000,9000,11000
ID794,30,1,3,0,0,1,14000,0,2,0,1,5000,49000,54000
ID795,30,3,3,0,0,1,14000,0,2,0,1,0,110000,110000
ID802,58,3,1,10935,0,1,15000,1,3,0,1,0,75000,75000
ID803,58,2,3,2267,0,1,19000,0,3,2,0,0,30000,30000
ID808,61,3,2,0,0,3,13000,1,3,2,0,21000,2000,23000
ID809,61,2,1,0,0,3,16000,1,4,3,1,4000,25000,29000
ID810,28,0,3,0,0,0,13000,0,2,3,0,17000,70000,87000
ID811,28,1,1,3481,0,0,16000,0,4,3,0,12000,16000,28000
ID817,23,0,1,0,0,1,12000,0,2,0,0,18000,51000,69000
ID818,23,1,4,0,0,1,12000,0,4,2,0,0,70000,70000
ID819,55,3,0,41796,0,1,14000,1,4,3,0,18000,21000,39000
ID825,30,0,0,36923,0,2,14000,1,3,2,0,13000,5000,18000
ID826,30,3,2,96550,0,2,17000,1,3,9,0,0,70000,70000
ID827,28,1,2,300,0,1,12000,1,3,4,0,19000,140000,159000
ID828,28,3,3,18710,0,1,16000,0,3,0,0,0,35000,35000
ID829,28,3,2,0,0,0,15000,0,2,0,1,7000,7000,14000
ID830,28,1,0,35,0,0,12000,1,2,2,0,18000,51000,69000
ID838,27,1,2,0,0,1,14000,1,3,0,1,0,100000,100000
ID839,27,3,1,2597,0,1,17000,1,2,1,1,0,70000,70000
ID842,27,0,3,55419,0,0,19000,1,4,2,1,0,110000,110000
ID844,29,0,2,0,0,2,14000,0,2,9,0,0,110000,110000
ID845,29,3,2,867,0,2,13000,1,4,4,1,22000,31000,53000
ID855,23,0,1,0,0,2,19000,0,4,0,1,24000,10000,34000
ID856,23,0,2,27547,0,2,16000,1,2,2,0,0,110000,110000
ID857,58,1,3,4779,0,1,14000,1,2,7,0,11000,110000,121000
ID858,58,0,4,357,0,1,13000,1,4,1,1,0,110000,110000
ID863,45,2,2,0,0,0,16000,1,4,6,1,1000,5000,6000
ID864,45,1,0,-46,0,0,15000,0,3,4,1,10000,95000,105000
ID869,40,1,2,0,0,0,16000,0,3,0,0,0,76000,76000
ID870,40,1,0,0,0,0,18000,0,3,3,0,11000,110000,121000
ID873,60,3,0,1046,0,2,15000,0,2,0,1,0,60000,60000
ID874,60,3,4,36,0,2,18000,1,3,3,1,0,65000,65000
ID878,28,0,2,0,0,1,12000,1,2,0,0,0,75000,75000
ID879,28,0,4,10935,0,1,16000,1,4,1,0,15000,58000,73000
ID882,45,1,0,21443,0,0,14000,0,2,0,1,0,80000,80000
ID883,45,3,2,0,0,0,15000,1,3,1,0,0,76000,76000
ID890,26,3,2,36282,0,0,13000,1,4,10,1,0,60000,60000
ID891,26,1,0,10337,0,0,12000,0,4,4,0,0,75000,75000
ID892,49,1,1,38488,0,2,14000,1,4,0,1,4000,95000,99000
ID897,50,0,3,387,0,2,16000,0,2,0,1,0,6000,6000
ID898,50,0,1,0,0,2,16000,0,3,1,0,30000,65000,95000
ID901,30,1,4,96550,0,2,15000,0,2,2,1,0,80000,80000
ID902,30,1,1,89060,0,2,13000,1,3,0,0,0,70000,70000
ID909,31,1,3,27907,0,1,12000,1,4,9,0,6000,40000,46000
ID910,31,1,1,1,0,1,13000,0,2,1,0,0,6000,6000
ID915,23,1,1,56845,0,0,14000,0,3,10,0,0,70000,70000
ID918,28,0,2,55419,0,1,17000,1,3,4,0,0,95000,95000
ID919,28,0,3,48,0,1,17000,1,3,8,0,0,25000,25000
ID922,26,1,2,7101,0,0,14000,0,4,3,0,0,50000,50000
ID923,26,3,4,0,0,0,13000,0,4,3,1,6000,40000,46000
ID928,36,3,0,51702,0,2,13000,1,3,0,0,0,33000,33000
ID929,36,1,4,3712,0,2,12000,1,4,3,1,0,70000,70000
ID930,34,1,1,65219,0,1,12000,1,3,0,1,2000,27000,29000
ID939,37,1,0,0,0,1,13000,0,4,0,0,0,22000,22000
ID940,37,0,2,0,0,1,15000,1,3,1,0,4000,95000,99000
ID941,57,3,4,0,0,1,19000,0,4,0,0,0,110000,110000
ID942,57,3,1,0,0,1,12000,0,2,1,0,0,33000,33000
ID943,27,1,2,0,0,2,15000,0,3,2,0,2000,27000,29000
ID944,27,3,1,11427,0,2,19000,1,3,0,0,0,70000,70000
ID947,34,1,2,2425,0,2,12000,0,3,1,0,11000,42000,53000
ID948,34,0,0,2091,0,2,19000,1,4,1,0,0,56000,56000
ID951,26,0,4,4837,0,2,12000,0,2,0,0,21000,101000,122000
ID952,26,0,3,30939,0,2,17000,0,4,2,1,0,22000,22000
ID953,30,1,3,0,0,1,18000,0,2,4,0,0,110000,110000
ID954,30,0,4,15645,0,1,15000,1,2,0,0,0,6000,6000
ID955,25,0,0,0,0,2,17000,0,3,4,0,0,70000,70000
ID956,25,1,4,10828,0,2,16000,0,4,1,1,18000,21000,39000
ID957,29,1,1,8897,0,1,18000,0,3,0,1,0,20000,20000
ID958,29,1,1,21443,0,1,16000,0,4,2,0,0,60000,60000
ID960,48,3,1,-129,0,3,18000,0,3,0,1,0,50000,50000
ID961,48,1,2,4763,0,3,17000,0,4,1,1,11000,42000,53000
ID968,24,3,3,55649,0,1,15000,0,3,4,0,0,50000,50000
ID969,24,3,0,38488,0,1,17000,0,3,4,1,18000,21000,39000
ID970,26,0,0,0,0,1,13000,0,2,3,1,0,20000,20000
ID971,26,3,1,13422,0,1,13000,1,2,5,0,0,38000,38000
ID976,39,0,1,89060,0,3,18000,1,2,2,1,0,30000,30000
ID983,59,1,1,25202,0,3,12000,0,3,0,0,7000,71000,78000
ID984,59,1,2,57949,0,3,19000,1,4,2,1,0,38000,38000
ID985,29,1,3,11230,0,4,13000,0,4,0,0,0,120000,120000
ID986,29,3,2,27907,0,4,14000,1,4,3,0,35000,75000,110000
ID987,29,1,2,2974,0,1,15000,0,4,0,0,1000,38000,39000
ID988,29,0,4,0,0,1,19000,1,2,1,0,0,120000,120000
ID1019,45,3,4,0,0,2,15000,1,4,0,0,0,40000,40000
ID1020,45,1,1,11427,0,2,16000,1,4,2,0,3000,96000,99000
ID1024,54,3,2,0,0,2,19000,0,2,5,0,0,25000,25000
ID1025,54,3,3,2425,0,2,12000,1,3,1,0,11000,64000,75000
ID1028,37,3,0,0,0,2,18000,1,3,6,1,0,80000,80000
ID1029,37,1,0,4837,0,2,14000,0,2,2,0,14000,80000,94000
ID1032,24,0,2,10828,0,1,17000,0,2,1,1,0,40000,40000
ID1033,24,0,3,1665,0,1,15000,0,3,9,0,0,62000,62000
ID1042,30,1,0,0,0,2,15000,0,4,1,0,31000,3000,34000
ID1043,30,0,3,8147,0,2,17000,1,3,0,0,20000,5000,25000
ID1045,41,1,0,18480,0,2,12000,0,2,6,0,3000,66000,69000
ID1046,41,0,3,55649,0,2,14000,1,3,2,0,0,62000,62000
ID1057,25,0,0,0,0,1,16000,1,3,0,0,4000,25000,29000
ID1058,25,1,0,437,0,1,16000,1,2,3,1,3000,66000,69000
ID1061,23,0,1,11230,0,2,16000,1,2,1,0,0,31000,31000
ID1062,23,3,1,0,0,2,13000,1,2,0,0,13000,17000,30000
ID1076,31,3,1,-9,0,3,18000,1,3,0,0,27000,2000,29000
ID1077,31,3,2,0,0,3,19000,0,2,2,0,9000,100000,109000
ID1078,69,0,4,0,0,3,18000,1,3,3,0,0,122000,122000
ID1079,69,2,4,332,0,3,14000,1,4,6,1,0,120000,120000
ID1082,25,1,1,0,0,1,12000,0,4,0,1,0,60000,60000
ID1083,25,3,3,9551,0,1,14000,1,3,4,1,7000,4000,11000
ID1084,48,1,4,0,0,1,16000,0,2,0,1,0,30000,30000
ID1085,48,1,0,0,0,1,14000,0,3,2,1,19000,111000,130000
ID1087,57,3,1,0,0,2,14000,0,4,0,1,11000,33000,44000
ID1088,57,3,1,10022,0,2,14000,0,4,2,1,0,14000,14000
ID1101,27,1,1,121,0,1,18000,1,4,7,0,0,80000,80000
ID1102,27,1,2,0,0,1,12000,1,3,2,1,0,60000,60000
ID1108,27,3,2,0,0,3,14000,1,3,0,1,0,90000,90000
ID1109,27,3,4,1665,0,3,16000,0,4,2,0,0,70000,70000
ID1114,80,3,4,60025,0,2,15000,0,3,0,1,0,29000,29000
ID1115,80,0,1,19033,0,2,16000,1,2,1,0,0,80000,80000
ID1122,37,3,1,11694,0,3,15000,1,2,0,0,19000,7000,26000
ID1123,37,3,3,1166,0,3,17000,1,2,4,1,5000,24000,29000
ID1129,27,1,2,0,0,1,12000,0,3,0,1,0,50000,50000
ID1130,27,3,2,0,0,1,18000,1,4,1,0,0,4000,4000
ID1143,37,1,3,33199,0,2,16000,0,3,3,0,12000,70000,82000
ID1144,37,0,4,38172,0,2,16000,1,3,2,0,0,5000,5000
ID1145,27,3,0,0,0,0,19000,0,4,7,1,33000,46000,79000
ID1146,27,0,2,195,0,0,13000,1,3,4,1,19000,26000,45000
ID1154,39,3,4,59,0,2,16000,0,4,0,0,3000,91000,94000
ID1155,39,0,0,332,0,2,19000,1,3,4,1,28000,46000,74000
ID1160,35,1,4,1761,0,2,13000,0,3,5,0,0,70000,70000
ID1161,35,0,0,0,0,2,12000,1,3,3,1,0,15000,15000
