ID CLIENTE,EDAD,ESTADO CIVIL,TIPO DE TARJETA,"CLASE DE
CLIENTE","UTILIDAD 
PROMEDIO TC",SALDO CANCELADO TC ,"TOTAL DE 
RECLAMOS","INGRESO 
MENSUAL","CUENTA 
SUELDO","CANTIDAD DE PRODUCTO
FINANCIERO DEL BBVA",ANTIGUEDAD,"USO DE BANCA
POR INTERNET","DEUDA TOTAL DE 
TARJETA DECREDITO","LINEA DISPONIBLE DE 
TARJETA DE CREDITO","LINEA TOTAL DE 
TARJETA DE CREDITO"
ID73,37,Divorsiado,Oro,VIP," 3,321 ",24,6," 14,000 ",0,2,2,1," 20,000 "," 15,000 "," 35,000 "
ID74,52,Soltero,Life signature,PREMIUN," 1,756 ",40,3," 12,000 ",0,4,0,1, -   ," 30,000 "," 30,000 "
ID75,51,Casado,Life plata,CLASICO, -   ,12,5," 13,000 ",0,2,0,0," 19,000 "," 10,000 "," 29,000 "
ID76,55,Casado,Life signature,VIP," 2,248 ",145,4," 19,000 ",1,2,0,0," 11,000 "," 42,000 "," 53,000 "
ID77,60,Divorsiado,Oro,PREMIUN, -   ,77,4," 17,000 ",1,4,0,0," 14,000 "," 80,000 "," 94,000 "
ID78,51,Casado,Life signature,VIP, -   ,135,8," 14,000 ",1,2,3,1, -   ," 40,000 "," 40,000 "
ID79,50,Soltero,Plata,PREMIUN," 100,216 ",133,8," 16,000 ",1,3,0,1," 31,000 "," 3,000 "," 34,000 "
ID80,52,Casado,Oro,PREMIUN," 9,551 ",30,5," 13,000 ",1,3,5,0, -   ," 22,000 "," 22,000 "
ID81,44,Casado,Oro,PREMIUN, -   ,122,5," 15,000 ",1,4,9,0," 2,000 "," 27,000 "," 29,000 "
ID82,50,Divorsiado,Plata,CLASICO," 37,876 ",112,4," 19,000 ",0,4,0,0," 19,000 "," 111,000 "," 130,000 "
ID83,50,Casado,Oro,PREMIUN, -   ,140,8," 13,000 ",0,4,5,1, -   ," 90,000 "," 90,000 "
ID84,56,Soltero,Plata,VIP, 263 ,141,5," 14,000 ",0,4,0,1, -   ," 80,000 "," 80,000 "
ID85,56,Casado,Oro,VIP, -   ,128,5," 13,000 ",1,3,5,0, -   ," 80,000 "," 80,000 "
ID86,53,Casado,Oro,VIP, -   ,57,8," 15,000 ",0,2,0,1, -   ," 30,000 "," 30,000 "
ID87,63,Divorsiado,Plata,CLASICO," 19,670 ",115,3," 16,000 ",1,4,7,1, -   ," 122,000 "," 122,000 "
ID88,51,Casado,Plata,VIP, -   ,94,3," 12,000 ",1,2,0,1, -   ," 110,000 "," 110,000 "
ID89,60,Casado,Life signature,CLASICO, -   ,90,7," 17,000 ",1,3,0,1, -   ," 53,000 "," 53,000 "
ID90,51,Casado,Life signature,CLASICO," 23,499 ",65,4," 18,000 ",0,4,5,0," 33,000 "," 46,000 "," 79,000 "
ID91,40,Soltero,Black,VIP, -   ,116,3," 14,000 ",0,2,0,1, -   ," 11,000 "," 11,000 "
ID92,42,Soltero,Plata,VIP, 779 ,90,2," 15,000 ",1,4,0,1, -   ," 70,000 "," 70,000 "
ID93,33,Divorsiado,Life signature,PREMIUN," 3,837 ",143,3," 18,000 ",0,3,3,1, -   ," 40,000 "," 40,000 "
ID94,35,Divorsiado,Plata,PREMIUN, -   ,60,6," 18,000 ",0,3,4,0, -   ," 110,000 "," 110,000 "
ID95,39,Divorsiado,Life plata,CLASICO," 4,703 ",86,7," 17,000 ",0,3,5,0, -   ," 40,000 "," 40,000 "
ID96,43,Soltero,Life plata,VIP," 2,126 ",40,2," 12,000 ",0,4,9,1, -   ," 70,000 "," 70,000 "
ID97,50,Casado,Black,VIP,-9 ,141,5," 16,000 ",0,2,6,1, -   ," 11,000 "," 11,000 "
ID98,54,Divorsiado,Life signature,PREMIUN," 1,166 ",131,4," 15,000 ",0,3,0,0," 45,000 "," 90,000 "," 135,000 "
ID99,56,Divorsiado,Black,PREMIUN, -   ,127,5," 15,000 ",0,2,1,0, -   ," 113,000 "," 113,000 "
ID100,57,Viudo,Black,PREMIUN," 2,256 ",56,0," 15,000 ",1,4,0,1, -   ," 120,000 "," 120,000 "
ID101,56,Casado,Oro,PREMIUN, -   ,65,6," 16,000 ",1,3,5,1, -   ," 15,000 "," 15,000 "
ID102,62,Soltero,Life plata,VIP, -   ,33,2," 17,000 ",0,3,0,1, -   ," 75,000 "," 75,000 "
ID103,61,Soltero,Oro,CLASICO," 17,388 ",44,4," 14,000 ",0,3,0,0, -   ," 25,000 "," 25,000 "
ID104,52,Divorsiado,Plata,VIP, -   ,135,4," 16,000 ",1,4,6,0, -   ," 25,000 "," 25,000 "
ID105,50,Casado,Life plata,CLASICO, 48 ,90,6," 17,000 ",1,3,0,1," 10,000 "," 95,000 "," 105,000 "
ID106,53,Casado,Plata,PREMIUN, 382 ,117,5," 13,000 ",1,4,0,0, -   ," 13,000 "," 13,000 "
ID107,45,Divorsiado,Life signature,CLASICO, -   ,66,5," 18,000 ",0,2,0,1," 47,000 "," 80,000 "," 127,000 "
ID108,55,Divorsiado,Life plata,PREMIUN, -   ,129,4," 18,000 ",0,4,0,1," 23,000 "," 30,000 "," 53,000 "
ID109,35,Soltero,Oro,VIP," 10,337 ",129,7," 17,000 ",0,2,5,0," 2,000 "," 77,000 "," 79,000 "
ID110,37,Divorsiado,Life signature,PREMIUN, 36 ,58,3," 14,000 ",1,4,0,1, -   ," 76,000 "," 76,000 "
ID111,53,Divorsiado,Oro,PREMIUN," 30,662 ",123,2," 17,000 ",1,3,0,1, -   ," 40,000 "," 40,000 "
ID112,60,Divorsiado,Oro,CLASICO, -   ,53,3," 12,000 ",0,3,0,1," 2,000 "," 40,000 "," 42,000 "
ID113,38,Soltero,Life signature,CLASICO, -   ,67,7," 15,000 ",0,4,0,0, -   ," 30,000 "," 30,000 "
ID114,63,Divorsiado,Plata,VIP," 12,861 ",75,4," 18,000 ",1,4,10,1, -   ," 40,000 "," 40,000 "
ID115,65,Divorsiado,Black,VIP, -   ,10,8," 16,000 ",0,4,4,0," 1,000 "," 33,000 "," 34,000 "
ID116,55,Casado,Plata,CLASICO, 300 ,55,3," 18,000 ",1,4,0,1, -   ," 17,000 "," 17,000 "
ID117,57,Divorsiado,Life plata,CLASICO," 5,428 ",105,4," 18,000 ",1,3,0,0, -   ," 76,000 "," 76,000 "
ID118,60,Divorsiado,Oro,PREMIUN, -   ,74,7," 12,000 ",1,2,0,0, -   ," 65,000 "," 65,000 "
ID119,48,Divorsiado,Plata,VIP, -   ,120,6," 19,000 ",1,4,0,0," 13,000 "," 17,000 "," 30,000 "
ID120,33,Divorsiado,Life signature,CLASICO, -   ,122,2," 15,000 ",1,2,0,1, -   ," 50,000 "," 50,000 "
ID121,64,Casado,Plata,VIP, -   ,13,4," 15,000 ",0,3,1,0," 1,000 "," 10,000 "," 11,000 "
ID122,36,Divorsiado,Black,VIP," 9,580 ",67,4," 12,000 ",0,3,6,0, -   ," 60,000 "," 60,000 "
ID123,42,Viudo,Life plata,CLASICO, -   ,16,2," 19,000 ",1,4,3,0," 3,000 "," 11,000 "," 14,000 "
ID124,36,Casado,Oro,VIP, -   ,76,5," 17,000 ",0,2,0,0," 19,000 "," 7,000 "," 26,000 "
ID125,50,Casado,Oro,VIP," 15,645 ",86,3," 16,000 ",1,2,2,1," 12,000 "," 21,000 "," 33,000 "
ID126,58,Casado,Oro,PREMIUN," 102,053 ",77,4," 18,000 ",1,3,7,0, -   ," 70,000 "," 70,000 "
ID127,60,Divorsiado,Plata,PREMIUN, -   ,79,8," 16,000 ",0,3,7,1," 1,000 "," 4,000 "," 5,000 "
ID128,61,Divorsiado,Oro,PREMIUN, 35 ,133,8," 19,000 ",1,4,0,0," 30,000 "," 13,000 "," 43,000 "
ID129,41,Divorsiado,Plata,CLASICO, 560 ,80,7," 16,000 ",0,4,4,1, -   ," 50,000 "," 50,000 "
ID130,49,Casado,Plata,PREMIUN, -   ,90,1," 15,000 ",1,2,0,1, -   ," 40,000 "," 40,000 "
ID131,44,Soltero,Plata,VIP," 27,547 ",111,4," 14,000 ",1,4,1,0," 1,000 "," 18,000 "," 19,000 "
ID132,44,Divorsiado,Black,CLASICO," 16,159 ",85,7," 14,000 ",0,3,0,0," 32,000 "," 46,000 "," 78,000 "
ID133,44,Divorsiado,Life signature,PREMIUN," 51,702 ",125,3," 12,000 ",0,3,0,1, -   ," 65,000 "," 65,000 "
ID134,60,Casado,Life signature,PREMIUN," 11,230 ",13,8," 18,000 ",1,3,0,0, -   ," 25,000 "," 25,000 "
ID135,39,Casado,Life signature,VIP," 4,481 ",73,6," 18,000 ",1,2,0,0, -   ," 5,000 "," 5,000 "
ID136,65,Viudo,Oro,VIP, -   ,59,3," 16,000 ",0,3,0,0, -   ," 87,000 "," 87,000 "
ID137,51,Divorsiado,Life signature,CLASICO, 43 ,147,4," 18,000 ",1,4,0,0," 2,000 "," 139,000 "," 141,000 "
ID138,53,Divorsiado,Black,PREMIUN, 996 ,114,4," 18,000 ",0,2,8,1," 11,000 "," 37,000 "," 48,000 "
ID139,58,Casado,Plata,PREMIUN," 22,335 ",120,5," 15,000 ",0,2,5,1, -   ," 90,000 "," 90,000 "
ID140,60,Soltero,Life signature,VIP," 4,731 ",118,6," 17,000 ",1,4,0,0," 3,000 "," 30,000 "," 33,000 "
ID141,40,Casado,Life plata,CLASICO," 38,172 ",130,5," 15,000 ",0,2,0,0, -   ," 50,000 "," 50,000 "
ID142,60,Soltero,Oro,PREMIUN, -   ,40,8," 18,000 ",0,4,0,0, -   ," 90,000 "," 90,000 "
ID143,65,Divorsiado,Oro,CLASICO, 208 ,93,7," 13,000 ",0,2,6,1," 19,000 "," 26,000 "," 45,000 "
ID144,48,Soltero,Oro,PREMIUN," 5,581 ",146,4," 15,000 ",0,3,0,1," 3,000 "," 96,000 "," 99,000 "
ID145,48,Divorsiado,Black,VIP, -   ,121,4," 12,000 ",1,3,0,1," 5,000 "," 24,000 "," 29,000 "
ID146,63,Casado,Plata,PREMIUN," 15,328 ",80,5," 13,000 ",0,3,4,1, -   ," 29,000 "," 29,000 "
ID147,31,Casado,Life plata,PREMIUN," 1,762 ",64,7," 14,000 ",0,4,0,1, -   ," 66,000 "," 66,000 "
ID148,42,Divorsiado,Oro,CLASICO," 1,055 ",49,4," 13,000 ",0,2,0,1, -   ," 80,000 "," 80,000 "
ID149,43,Divorsiado,Plata,VIP," 89,060 ",53,7," 15,000 ",1,4,1,1," 8,000 "," 40,000 "," 48,000 "
ID150,44,Soltero,Plata,PREMIUN," 9,793 ",18,7," 12,000 ",1,2,3,1, -   ," 90,000 "," 90,000 "
ID151,44,Casado,Plata,CLASICO, 743 ,108,4," 14,000 ",1,4,0,1," 12,000 "," 70,000 "," 82,000 "
ID152,46,Divorsiado,Life signature,VIP," 10,337 ",98,3," 13,000 ",1,3,0,1, -   ," 17,000 "," 17,000 "
ID153,49,Divorsiado,Life signature,PREMIUN, -   ,89,7," 16,000 ",0,4,7,0, -   ," 70,000 "," 70,000 "
ID154,53,Divorsiado,Plata,VIP, -   ,111,4," 19,000 ",1,3,4,0, -   ," 50,000 "," 50,000 "
ID155,57,Soltero,Life plata,PREMIUN, -   ,111,3," 15,000 ",1,2,5,0, -   ," 14,000 "," 14,000 "
ID156,64,Casado,Black,VIP," 30,662 ",106,6," 19,000 ",0,4,0,0," 1,000 "," 38,000 "," 39,000 "
ID157,56,Soltero,Black,PREMIUN,-129 ,149,4," 18,000 ",0,2,7,0," 4,000 "," 95,000 "," 99,000 "
ID158,64,Divorsiado,Black,CLASICO," 33,435 ",91,8," 17,000 ",1,3,0,1," 7,000 "," 37,000 "," 44,000 "
ID159,32,Soltero,Oro,VIP, -   ,12,5," 15,000 ",0,4,0,0," 7,000 "," 15,000 "," 22,000 "
ID160,60,Divorsiado,Life signature,CLASICO, -   ,28,8," 15,000 ",1,3,7,0, -   ," 80,000 "," 80,000 "
ID161,49,Soltero,Life plata,VIP," 2,849 ",136,4," 12,000 ",0,4,6,1, -   ," 122,000 "," 122,000 "
ID162,57,Viudo,Plata,VIP, -   ,29,6," 18,000 ",1,4,0,1, -   ," 14,000 "," 14,000 "
ID163,35,Casado,Life signature,PREMIUN, -   ,149,3," 18,000 ",0,3,0,0," 32,000 "," 46,000 "," 78,000 "
ID164,35,Soltero,Plata,VIP, -   ,28,5," 13,000 ",1,2,6,0, -   ," 99,000 "," 99,000 "
ID165,51,Soltero,Black,VIP," 19,670 ",104,5," 12,000 ",0,3,4,0," 33,000 "," 23,000 "," 56,000 "
ID166,61,Casado,Life signature,CLASICO, -   ,85,6," 13,000 ",0,2,0,1, -   ," 31,000 "," 31,000 "
ID167,48,Soltero,Oro,VIP, 328 ,117,5," 18,000 ",0,3,0,0," 4,000 "," 25,000 "," 29,000 "
ID168,46,Divorsiado,Plata,PREMIUN," 2,731 ",67,1," 19,000 ",1,3,0,0," 28,000 "," 46,000 "," 74,000 "
ID169,37,Casado,Life plata,CLASICO," 2,267 ",145,5," 17,000 ",1,2,4,1, -   ," 120,000 "," 120,000 "
ID170,64,Soltero,Life signature,PREMIUN, -   ,28,2," 12,000 ",0,2,9,1, -   ," 87,000 "," 87,000 "
ID171,38,Divorsiado,Life plata,VIP," 7,101 ",143,5," 18,000 ",0,2,0,1," 19,000 "," 10,000 "," 29,000 "
ID172,65,Soltero,Oro,CLASICO," 4,765 ",95,4," 14,000 ",0,2,3,1, -   ," 60,000 "," 60,000 "
ID173,41,Casado,Plata,CLASICO, -   ,93,8," 15,000 ",0,4,0,1," 17,000 "," 70,000 "," 87,000 "
ID174,45,Casado,Life plata,CLASICO,-8 ,27,2," 19,000 ",1,4,0,1, -   ," 11,000 "," 11,000 "
ID175,48,Divorsiado,Plata,VIP, -   ,146,3," 16,000 ",1,2,5,1," 3,000 "," 77,000 "," 80,000 "
ID176,49,Divorsiado,Life plata,CLASICO, 828 ,148,6," 18,000 ",0,3,0,1, -   ," 40,000 "," 40,000 "
ID177,51,Divorsiado,Oro,CLASICO, -   ,41,6," 18,000 ",1,3,7,1," 22,000 "," 51,000 "," 73,000 "
ID178,52,Casado,Life plata,PREMIUN," 6,036 ",91,3," 14,000 ",1,4,5,1, -   ," 100,000 "," 100,000 "
ID179,42,Soltero,Life plata,VIP," 20,892 ",71,2," 19,000 ",0,4,2,1," 19,000 "," 26,000 "," 45,000 "
ID180,56,Soltero,Oro,PREMIUN," 52,881 ",54,4," 12,000 ",1,3,0,1, -   ," 90,000 "," 90,000 "
ID181,63,Casado,Black,CLASICO," 5,428 ",76,6," 19,000 ",1,2,1,0, -   ," 80,000 "," 80,000 "
ID182,65,Casado,Life signature,VIP," 1,398 ",145,6," 19,000 ",0,4,0,1," 28,000 "," 65,000 "," 93,000 "
ID183,53,Casado,Plata,VIP," 8,147 ",68,5," 12,000 ",0,2,5,1," 13,000 "," 73,000 "," 86,000 "
ID184,50,Casado,Life signature,CLASICO," 2,088 ",104,2," 15,000 ",0,4,0,1, -   ," 11,000 "," 11,000 "
ID185,57,Viudo,Oro,VIP," 3,321 ",60,3," 17,000 ",0,2,8,1," 4,000 "," 15,000 "," 19,000 "
ID186,55,Divorsiado,Plata,VIP, 35 ,72,7," 15,000 ",0,4,6,0, -   ," 6,000 "," 6,000 "
ID187,46,Divorsiado,Life signature,PREMIUN, -   ,91,8," 15,000 ",0,3,0,1, -   ," 15,000 "," 15,000 "
ID188,49,Casado,Oro,VIP," 2,597 ",101,1," 19,000 ",1,3,0,1, -   ," 30,000 "," 30,000 "
ID189,63,Casado,Oro,CLASICO," 27,547 ",17,8," 14,000 ",0,2,8,0," 1,000 "," 75,000 "," 76,000 "
ID190,61,Soltero,Black,VIP," 1,269 ",93,2," 16,000 ",0,3,1,1, -   ," 40,000 "," 40,000 "
ID191,51,Divorsiado,Plata,VIP," 96,550 ",99,6," 16,000 ",0,4,0,1," 5,000 "," 24,000 "," 29,000 "
ID192,62,Soltero,Oro,CLASICO, 184 ,26,6," 17,000 ",0,4,4,0," 27,000 "," 23,000 "," 50,000 "
ID193,57,Casado,Life signature,CLASICO," 1,166 ",38,6," 18,000 ",0,2,0,0, -   ," 70,000 "," 70,000 "
ID194,58,Divorsiado,Life plata,VIP," 56,845 ",104,2," 19,000 ",1,4,1,0," 1,000 "," 78,000 "," 79,000 "
ID195,45,Casado,Life signature,VIP, 59 ,85,6," 16,000 ",0,4,10,0, -   ," 25,000 "," 25,000 "
ID196,49,Divorsiado,Black,VIP, 828 ,12,7," 12,000 ",0,4,5,1, -   ," 56,000 "," 56,000 "
ID197,57,Viudo,Black,CLASICO, -   ,148,6," 13,000 ",0,4,3,0," 18,000 "," 21,000 "," 39,000 "
ID198,61,Divorsiado,Life signature,PREMIUN," 27,516 ",141,3," 13,000 ",1,4,7,1, -   ," 60,000 "," 60,000 "
ID199,64,Casado,Oro,VIP," 55,419 ",141,5," 16,000 ",0,4,0,0," 1,000 "," 18,000 "," 19,000 "
ID200,37,Casado,Life plata,PREMIUN," 11,427 ",146,5," 18,000 ",1,4,6,1," 13,000 "," 5,000 "," 18,000 "
ID201,46,Divorsiado,Plata,PREMIUN, -   ,80,4," 14,000 ",1,4,0,0, -   ," 4,000 "," 4,000 "
ID202,40,Soltero,Oro,VIP," 2,974 ",144,5," 15,000 ",0,4,6,1, -   ," 11,000 "," 11,000 "
ID203,55,Casado,Life signature,PREMIUN, -   ,43,7," 14,000 ",0,4,0,0," 2,000 "," 107,000 "," 109,000 "
ID204,31,Casado,Oro,VIP, -   ,136,7," 13,000 ",1,4,0,1, -   ," 34,000 "," 34,000 "
ID205,34,Casado,Plata,VIP," 1,512 ",87,3," 19,000 ",1,2,0,1, -   ," 95,000 "," 95,000 "
ID206,43,Soltero,Black,PREMIUN, -   ,136,5," 15,000 ",1,4,0,0, -   ," 15,000 "," 15,000 "
